Regions,Year,NDVI,Rainfall_mm,Average_Temperature_C,Surface_Soil_Moisture,Forest_Cover
Aravalli,2015,0.1869279914,679.9216708,33.43541453,6.510486098,0.2337662338
Aravalli,2016,0.1888683307,1045.106436,34.12308597,7.00898906,0.2337662338
Aravalli,2017,0.1856225583,901.134858,33.59554661,6.453699719,0.2337662338
Aravalli,2018,0.1808415083,831.7265109,33.99801104,7.118509098,0.2337662338
Aravalli,2019,0.1663350891,1069.506396,33.0961101,8.322545416,0.2337662338
Aravalli,2020,0.203318089,959.3982811,32.75942876,7.051301392,0.2337662338
Aravalli,2021,0.194608622,869.6597365,32.37048203,7.22695218,0.2337662338
Aravalli,2022,0.2016558043,1150.090203,32.78113192,6.430293821,0.2337662338
Aravalli,2023,0.2109130162,926.1822933,30.76823876,,
Aravalli,2024,0.1948727466,1185.503165,31.00355185,,
Aravalli,2025,0.215836732,1216.511133,28.56630749,,
Central Forest,2015,0.2606436314,1312.990304,31.01736548,12.29621012,47.26551602
Central Forest,2016,0.2355370493,1532.292831,32.15627688,10.67217138,46.62090962
Central Forest,2017,0.2448414188,1354.100494,32.00334056,11.43386813,45.72490599
Central Forest,2018,0.244316125,1464.282181,31.27953346,10.69845782,45.00666037
Central Forest,2019,0.2355061866,1586.617069,31.84468851,12.30947831,43.73800155
Central Forest,2020,0.2455966068,1696.433396,30.74622658,12.7918003,43.34699525
Central Forest,2021,0.2392782436,1475.66168,30.87630043,11.83318009,42.30583183
Central Forest,2022,0.2417011819,1676.012171,30.56697627,8.228273275,39.11998587
Central Forest,2023,0.2532932524,1337.359585,30.39510548,,
Central Forest,2024,0.244808813,1528.06155,29.7437763,,
Central Forest,2025,0.2510660724,1699.202131,27.71864251,,
Eastern Ghats,2015,0.2178034088,893.5564698,32.88304836,10.41331015,13.66393179
Eastern Ghats,2016,0.2085919349,733.3773996,33.58776705,8.609112165,12.69007559
Eastern Ghats,2017,0.1862963202,924.6876286,32.98827693,7.561300222,12.39150038
Eastern Ghats,2018,0.2055740578,708.1252009,33.00806343,7.752405296,11.16693154
Eastern Ghats,2019,0.1598225781,942.7283653,33.91239187,10.72036203,10.11901442
Eastern Ghats,2020,0.2160083585,1278.79761,31.92985929,11.6702825,8.599074208
Eastern Ghats,2021,0.2244651256,1117.590934,31.36239972,8.900016542,8.064483214
Eastern Ghats,2022,0.2197866889,1149.35044,30.58396772,6.899557746,7.327455958
Eastern Ghats,2023,0.223695563,804.9116781,31.46813665,,
Eastern Ghats,2024,0.2128819394,1047.043195,30.89801327,,
Eastern Ghats,2025,0.2278079451,1094.538827,28.53799713,,
North Eastern Rainforest,2015,0.2999257739,2113.974757,20.49409933,20.71220016,63.06046891
North Eastern Rainforest,2016,0.3088100702,2088.774822,20.51748066,18.42147583,62.67087461
North Eastern Rainforest,2017,0.3023225699,2347.549164,20.46610401,19.09733056,62.4521181
North Eastern Rainforest,2018,0.2879051688,1772.730895,19.71039842,19.57130351,62.97086103
North Eastern Rainforest,2019,0.2869912961,1891.778132,20.40315137,20.01600094,63.13374313
North Eastern Rainforest,2020,0.290082346,1918.183573,20.10893355,19.27002872,64.28170912
North Eastern Rainforest,2021,0.2997471851,1708.999344,20.72026351,16.12847103,64.86579994
North Eastern Rainforest,2022,0.3096127047,1889.007869,20.05952631,17.22631121,65.26977263
North Eastern Rainforest,2023,0.298398878,1836.018232,20.62915576,,
North Eastern Rainforest,2024,0.3031057999,2155.917097,19.82684043,,
North Eastern Rainforest,2025,0.3074083283,2175.516444,19.30825048,,
Odisha Forest,2015,0.2306409357,1309.046023,30.64338619,12.2204442,30.91908162
Odisha Forest,2016,0.2269546795,1428.083035,31.28784379,10.51221097,30.9965179
Odisha Forest,2017,0.2241694148,1612.793781,31.10003145,11.83917196,30.58954048
Odisha Forest,2018,0.2487603582,1650.225547,30.19875559,11.84536353,30.44658189
Odisha Forest,2019,0.2449928439,1505.911743,30.03520157,13.40656548,29.89309443
Odisha Forest,2020,0.2618609871,1654.648134,29.40398833,13.87675625,29.36850728
Odisha Forest,2021,0.2232319445,1586.624131,30.18678087,12.92808301,28.92825975
Odisha Forest,2022,0.2540876945,1413.584252,29.49884266,9.232972208,26.66391863
Odisha Forest,2023,0.2391244738,1304.815583,29.99010114,,
Odisha Forest,2024,0.2470576885,1292.368118,28.89996639,,
Odisha Forest,2025,0.2481645731,1725.77396,27.04050646,,
Western Ghats,2015,0.2917683782,1980.713769,28.51540658,17.73322866,46.17965894
Western Ghats,2016,0.2824204412,1846.167111,29.59248724,12.26225024,46.63178611
Western Ghats,2017,0.275920979,2188.489675,29.28000445,14.46646912,46.10022847
Western Ghats,2018,0.2841158293,2342.579523,28.85375776,14.37309051,45.66086367
Western Ghats,2019,0.2755150528,2700.399174,29.42373806,13.97912549,44.2713646
Western Ghats,2020,0.2891891303,2644.255308,28.8806555,12.70066071,43.70676104
Western Ghats,2021,0.280342464,2655.039687,28.33536511,13.98437197,42.92672896
Western Ghats,2022,0.2919889819,2601.836117,27.81169029,10.17893547,39.926791
Western Ghats,2023,0.2966054859,1942.237261,28.3315332,,
Western Ghats,2024,0.2856936035,2762.83048,27.70418117,,
Western Ghats,2025,0.2926974567,2388.196142,26.09551605,,
Western Himalayas,2015,0.2225140261,1585.570481,19.50888686,14.41815357,52.95239364
Western Himalayas,2016,0.204226416,1275.282431,21.06336324,12.09947566,52.90553506
Western Himalayas,2017,0.2132087626,1416.47142,20.1136288,13.91346409,52.18204156
Western Himalayas,2018,0.1981416077,1508.111826,19.97039394,16.62765345,51.39828033
Western Himalayas,2019,0.2195347918,1512.065533,18.81934789,18.40582563,50.93975674
Western Himalayas,2020,0.2203940299,1359.688542,19.36368822,16.30791513,50.54974033
Western Himalayas,2021,0.2083120262,1387.94595,19.71667933,14.02495122,46.32765393
Western Himalayas,2022,0.2178880106,1287.723561,19.98077705,14.35970771,43.42671237
Western Himalayas,2023,0.2173776217,1578.206778,18.95219639,,
Western Himalayas,2024,0.2290109246,1293.684335,19.3983741,,
Western Himalayas,2025,0.2156470701,1669.313576,17.98719221,,
